date,interval,emergency_purchase_kwh
2025-03-20,1:00-2:10,205.28546004423026
2025-03-20,2:40-2:50,10.73296771902162
2025-03-20,3:10-4:00,140.26410280961989
2025-03-20,5:00-5:20,106.15534597713686
2025-03-20,6:50-7:10,87.35655630444137
2025-03-20,8:50-10:00,745.2932962250587
2025-03-20,11:30-12:00,621.3800459609462
2025-03-20,12:30-12:50,146.3035458800473
2025-03-20,15:10-16:50,808.1131118368147
2025-03-20,17:10-17:40,63.15772980369226
2025-03-20,21:30-21:50,26.878380806046586
2025-03-20,23:30-23:50,43.20809308659372
2025-06-21,0:20-0:30,28.86897933922762
2025-06-21,1:20-1:30,6.896653372974583
2025-06-21,1:40-2:00,49.178929309252226
2025-06-21,2:50-3:30,89.12237540369384
2025-06-21,4:00-4:20,60.8221002828251
2025-06-21,5:20-5:30,33.62204283049658
2025-09-23,2:00-2:30,59.149808023335936
2025-09-23,4:50-5:20,63.30049622089792
2025-09-23,5:40-5:50,12.229298888396148
2025-09-23,6:50-7:20,125.80716051331348
2025-09-23,7:40-7:50,28.190858415410275
2025-09-23,9:00-9:50,198.42228602809533
2025-09-23,10:00-10:10,3.38896666666642
2025-09-23,14:50-15:00,116.8253396786115
2025-09-23,15:10-15:20,369.6111256888368
2025-09-23,16:00-16:50,200.72816263601567
2025-09-23,17:00-17:50,111.46659121566749
2025-09-23,18:00-18:50,120.19862859983995
2025-09-23,20:10-20:30,283.8049196115412
2025-09-23,20:50-21:40,183.68412565012005
2025-09-23,22:20-22:30,41.04950602298493
2025-09-23,23:30-23:40,13.14876049682132
2025-12-21,3:10-3:20,9.118728482801862
2025-12-21,3:30-3:50,115.49885083581694
2025-12-21,9:40-9:50,13.738854670615773
2025-12-21,10:40-10:50,21.049803597971824
2025-12-21,11:00-12:00,833.5406904864404
2025-12-21,12:40-12:50,10.750430120909186
2025-12-21,15:20-15:30,6.031875341034038
2025-12-21,16:50-17:00,18.47691970218234
2025-12-21,17:30-17:40,16.111457009074044
2025-12-21,17:50-18:00,0.3701877831103957
2025-12-21,18:10-18:50,132.84462259358094
2025-12-21,20:10-20:20,29.23959749833261
2025-12-21,22:50-23:10,23.48704818179781
2025-12-21,23:30-23:50,37.957222326217874
