date,interval,emergency_purchase_kwh
2025-03-20,1:10-1:40,133.88007152014484
2025-03-20,1:50-2:10,17.99861676857813
2025-03-20,2:30-2:40,10.136280263235108
2025-03-20,3:00-3:20,48.45474826484485
2025-03-20,3:30-4:10,64.32341250463571
2025-03-20,5:00-5:40,224.54747210384838
2025-03-20,9:00-10:00,389.9839204705148
2025-03-20,11:00-11:10,21.3434417209902
2025-03-20,11:20-11:50,494.38689717005377
2025-03-20,12:30-12:50,145.0010727655786
2025-03-20,15:00-17:40,1064.5099735453869
2025-03-20,20:40-20:50,1.2977053262906764
2025-03-20,21:10-21:50,122.1180290217768
2025-03-20,23:30-23:50,56.93693943076594
2025-06-21,0:20-0:30,8.445473887112712
2025-06-21,1:50-2:10,66.33236080966273
2025-06-21,2:50-3:30,78.53917940348367
2025-06-21,4:00-4:20,58.16913169123886
2025-06-21,4:40-5:00,14.699542528216183
2025-06-21,5:20-5:50,74.92729724911527
2025-09-23,2:20-2:30,10.507200028400234
2025-09-23,3:50-4:00,7.452399048108555
2025-09-23,4:50-5:20,47.75693570688924
2025-09-23,5:40-5:50,12.229298888396352
2025-09-23,6:40-7:20,163.34201226715678
2025-09-23,7:30-7:50,29.87353366243071
2025-09-23,9:20-9:50,69.82072521401817
2025-09-23,10:00-10:10,3.38896666666642
2025-09-23,14:50-15:30,1099.0716966520658
2025-09-23,15:50-17:20,462.8084312287913
2025-09-23,17:30-17:40,38.535540225412966
2025-09-23,18:10-18:50,139.3787631328795
2025-09-23,20:10-20:30,242.04471205628795
2025-09-23,20:50-21:40,218.0654982641634
2025-09-23,22:20-22:40,36.00514370095682
2025-09-23,23:30-23:40,22.769354367689925
2025-12-21,1:30-1:50,34.71271010581711
2025-12-21,3:00-3:20,13.800906236929222
2025-12-21,3:30-3:50,96.04189594579384
2025-12-21,4:00-4:20,12.911228644234825
2025-12-21,5:40-5:50,16.588800784094943
2025-12-21,6:20-6:40,26.015478577970473
2025-12-21,11:20-11:50,181.29429413827893
2025-12-21,12:00-12:10,24.020502005343246
2025-12-21,12:40-13:10,46.275088246405296
2025-12-21,15:20-15:30,19.013224725810915
2025-12-21,16:50-17:00,12.89944653138582
2025-12-21,18:30-18:50,71.69666250498084
2025-12-21,20:10-20:20,29.23959749833432
2025-12-21,20:40-20:50,58.96320764693582
2025-12-21,23:30-23:50,50.645023694387895
