date,slot,policy,price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_purchase_kwh,emergency_purchase_kwh,charge_kwh,discharge_kwh,remaining_energy_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,balance_error_kwh
2025-01-01,1,warmup,0.4248,588.2882666666667,0.0,588.2882666666667,0.0,1421.6216,0.0,833.3333333333333,0.0,-0.0,6000.0,6750.0,603.90485568,0.0,0.0
2025-01-01,2,warmup,0.4245,601.5881166666667,0.0,601.5881166666667,0.0,1434.92145,0.0,833.3333333333333,0.0,1.1368683772161603e-13,6750.0,7500.0,609.124155525,0.0,0.0
2025-01-01,3,warmup,0.4269,621.0933333333334,0.0,621.0933333333334,0.0,1454.4266666666667,0.0,833.3333333333333,0.0,1.1368683772161603e-13,7500.0,8250.0,620.8947440000001,0.0,0.0
2025-01-01,4,warmup,0.4272,585.1051833333333,0.0,585.1051833333333,0.0,1418.4385166666666,0.0,833.3333333333333,0.0,-0.0,8250.0,9000.0,605.95693432,0.0,0.0
2025-01-01,5,warmup,0.4271,583.7604166666666,0.0,583.7604166666666,0.0,1417.09375,0.0,833.3333333333333,0.0,1.1368683772161603e-13,9000.0,9750.0,605.240740625,0.0,0.0
2025-01-01,6,warmup,0.4285,631.1683333333334,0.0,631.1683333333334,0.0,631.1683333333334,0.0,0.0,-0.0,0.0,9750.0,9750.0,270.4556308333334,0.0,0.0
2025-01-01,7,warmup,0.4311,650.0534166666666,0.0,650.0534166666666,0.0,650.0534166666666,0.0,0.0,0.0,-0.0,9750.0,9750.0,280.238027925,0.0,0.0
2025-01-01,8,warmup,0.4302,652.8062666666666,0.0,652.8062666666666,0.0,652.8062666666666,0.0,-0.0,0.0,0.0,9750.0,9750.0,280.83725591999996,0.0,0.0
2025-01-01,9,warmup,0.4279,636.2133333333334,0.0,636.2133333333334,0.0,969.5466666666667,0.0,333.3333333333333,0.0,5.684341886080802e-14,9750.0,10050.0,414.8690186666667,0.0,0.0
2025-01-01,10,warmup,0.4312,588.8356,0.0,588.8356,0.0,588.8356,0.0,0.0,0.0,-0.0,10050.0,10050.0,253.90591072,0.0,0.0
2025-01-01,11,warmup,0.4333,615.7768833333333,0.0,615.7768833333333,0.0,615.7768833333333,0.0,0.0,0.0,-0.0,10050.0,10050.0,266.81612354833334,0.0,0.0
2025-01-01,12,warmup,0.4311,677.455,0.0,677.455,0.0,677.455,0.0,0.0,0.0,-0.0,10050.0,10050.0,292.0508505,0.0,0.0
2025-01-01,13,warmup,0.4293,635.1118333333333,0.0,635.1118333333333,0.0,635.1118333333333,0.0,0.0,0.0,-0.0,10050.0,10050.0,272.65351004999997,0.0,0.0
2025-01-01,14,warmup,0.4324,640.8249166666667,0.0,640.8249166666667,0.0,640.8249166666667,0.0,0.0,0.0,-0.0,10050.0,10050.0,277.0926939666667,0.0,0.0
2025-01-01,15,warmup,0.4367,705.77,0.0,705.77,0.0,705.77,0.0,0.0,0.0,-0.0,10050.0,10050.0,308.20975899999996,0.0,0.0
2025-01-01,16,warmup,0.4348,684.9959166666666,0.0,684.9959166666666,0.0,684.9959166666666,0.0,0.0,0.0,-0.0,10050.0,10050.0,297.83622456666666,0.0,0.0
2025-01-01,17,warmup,0.4335,666.1490833333334,0.0,666.1490833333334,0.0,666.1490833333334,0.0,0.0,0.0,-0.0,10050.0,10050.0,288.775627625,0.0,0.0
2025-01-01,18,warmup,0.4357,683.6983333333333,0.0,683.6983333333333,0.0,683.6983333333333,0.0,0.0,0.0,-0.0,10050.0,10050.0,297.88736383333327,0.0,0.0
2025-01-01,19,warmup,0.4374,681.0096166666666,0.0,681.0096166666666,0.0,681.0096166666666,0.0,0.0,0.0,-0.0,10050.0,10050.0,297.87360633,0.0,0.0
2025-01-01,20,warmup,0.4371,688.9604333333333,0.0,688.9604333333333,0.0,688.9604333333333,0.0,0.0,0.0,-0.0,10050.0,10050.0,301.14460541,0.0,0.0
2025-01-01,21,warmup,0.4356,696.5300000000001,0.0,696.5300000000001,0.0,696.5300000000001,0.0,0.0,0.0,-0.0,10050.0,10050.0,303.408468,0.0,0.0
2025-01-01,22,warmup,0.4353,658.8951833333333,0.0,658.8951833333333,0.0,658.8951833333333,0.0,0.0,0.0,-0.0,10050.0,10050.0,286.817073305,0.0,0.0
2025-01-01,23,warmup,0.436,651.7916,0.0,651.7916,0.0,651.7916,0.0,0.0,0.0,-0.0,10050.0,10050.0,284.1811376,0.0,0.0
2025-01-01,24,warmup,0.4378,683.2183333333334,0.0,683.2183333333334,0.0,683.2183333333334,0.0,0.0,0.0,-0.0,10050.0,10050.0,299.11298633333337,0.0,0.0
2025-01-01,25,warmup,0.4401,687.3103833333333,0.0,687.3103833333333,0.0,687.3103833333333,0.0,0.0,0.0,-0.0,10050.0,10050.0,302.485299705,0.0,0.0
2025-01-01,26,warmup,0.4389,694.8344666666667,0.0,694.8344666666667,0.0,694.8344666666667,0.0,0.0,0.0,-0.0,10050.0,10050.0,304.96284742,0.0,0.0
2025-01-01,27,warmup,0.4364,710.04,0.0,710.04,0.0,710.04,0.0,-0.0,0.0,-0.0,10050.0,10050.0,309.861456,0.0,0.0
2025-01-01,28,warmup,0.4393,702.8703666666667,0.0,702.8703666666667,0.0,702.8703666666667,0.0,0.0,0.0,-0.0,10050.0,10050.0,308.7709520766667,0.0,0.0
2025-01-01,29,warmup,0.4422,710.3095,0.0,710.3095,0.0,710.3095,0.0,0.0,0.0,-0.0,10050.0,10050.0,314.0988609,0.0,0.0
2025-01-01,30,warmup,0.4395,723.65,0.0,723.65,0.0,723.65,0.0,0.0,0.0,-0.0,10050.0,10050.0,318.044175,0.0,0.0
2025-01-01,31,warmup,0.4333,701.3701333333333,0.00035,701.3701333333333,0.00035,701.3697833333333,0.0,0.0,0.0,-2.5829653086534288e-14,10050.0,10050.0,303.90352711833333,0.0,2.5829653086534288e-14
2025-01-01,32,warmup,0.4439,717.0205500000001,0.0,717.0205500000001,0.0,717.0205500000001,0.0,-0.0,0.0,0.0,10050.0,10050.0,318.28542214500004,0.0,0.0
2025-01-01,33,warmup,0.4301,742.765,0.0,742.765,0.0,742.765,-0.0,-0.0,0.0,0.0,10050.0,10050.0,319.46322649999996,-0.0,0.0
2025-01-01,34,warmup,0.3713,691.4395,0.0049833333333333,691.4395,0.0049833333333333,1524.76785,0.0,833.3333333333333,0.0,1.1368683772161603e-13,10050.0,10800.0,566.146302705,0.0,-1.1368683772161603e-13
2025-01-01,35,warmup,0.5708,749.6888833333334,0.0,749.6888833333334,0.0,749.6888833333334,0.0,0.0,-0.0,-0.0,10800.0,10800.0,427.9224146066667,0.0,0.0
2025-01-01,36,warmup,0.9099,894.8966666666666,0.0,894.8966666666666,0.0,894.8966666666666,0.0,0.0,-0.0,-0.0,10800.0,10800.0,814.266477,0.0,0.0
2025-01-01,37,warmup,0.9368,906.8165166666666,0.0694833333333333,906.8165166666666,0.0694833333333333,231.74703333333343,0.0,0.0,674.9999999999999,0.0,10800.0,10050.0,217.10062082666676,0.0,0.0
2025-01-01,38,warmup,0.8758,886.1488333333333,0.0,886.1488333333333,0.0,886.1488333333333,0.0,0.0,0.0,-0.0,10050.0,10050.0,776.0891482333333,0.0,0.0
2025-01-01,39,warmup,0.8759,899.9699999999999,0.0,899.9699999999999,0.0,899.9699999999999,0.0,0.0,0.0,-0.0,10050.0,10050.0,788.2837229999999,0.0,0.0
2025-01-01,40,warmup,0.8601,907.9001166666668,0.9677,907.9001166666668,0.9677,906.9324166666668,0.0,0.0,0.0,-3.6193270602780103e-14,10050.0,10050.0,780.0525715750001,0.0,3.6193270602780103e-14
2025-01-01,41,warmup,0.8442,907.4001666666668,0.0,907.4001666666668,0.0,907.4001666666668,0.0,0.0,0.0,-0.0,10050.0,10050.0,766.0272207,0.0,0.0
2025-01-01,42,warmup,0.8334,905.605,0.5125000000000001,905.605,0.5125000000000001,905.0925,0.0,0.0,0.0,-4.54081217071689e-14,10050.0,10050.0,754.3040895,0.0,4.54081217071689e-14
2025-01-01,43,warmup,0.8092,908.2136333333332,29.299216666666663,908.2136333333332,29.299216666666663,878.9144166666665,0.0,-0.0,0.0,0.0,10050.0,10050.0,711.2175459666665,0.0,0.0
2025-01-01,44,warmup,0.7972,918.3340333333334,70.24933333333333,918.3340333333334,70.24933333333333,848.0847000000001,0.0,0.0,0.0,1.4210854715202004e-14,10050.0,10050.0,676.0931228400001,0.0,-1.4210854715202004e-14
2025-01-01,45,warmup,0.7644,912.6666666666666,112.85,912.6666666666666,112.85,799.8166666666666,0.0,-2.842170943040401e-14,0.0,0.0,10050.0,10050.0,611.3798599999999,0.0,2.842170943040401e-14
2025-01-01,46,warmup,0.6899,888.2369166666667,158.46853333333334,888.2369166666667,158.46853333333334,1563.1017166666668,0.0,833.3333333333333,0.0,1.1368683772161603e-13,10050.0,10800.0,1078.3838743283334,0.0,1.1368683772161603e-13
2025-01-01,47,warmup,0.86,1014.0193833333332,209.26175,1014.0193833333332,209.26175,804.7576333333332,0.0,0.0,-0.0,-0.0,10800.0,10800.0,692.0915646666665,0.0,0.0
2025-01-01,48,warmup,1.1617,1219.3333333333333,265.38125,1219.3333333333333,265.38125,120.61874999999986,-0.0,0.0,833.3333333333334,0.0,10800.0,9874.074074074075,140.12280187499982,-0.0,0.0
2025-01-01,49,warmup,1.1683,1244.9157833333334,322.9202,1244.9157833333334,322.9202,88.66224999999997,1.1368683772161603e-13,0.0,833.3333333333334,0.0,9874.074074074075,8948.14814814815,103.58410667499996,6.6410166255082e-13,0.0
2025-01-01,50,warmup,1.0956,1204.2818333333332,370.85435,1204.2818333333332,370.85435,0.0941499999997859,1.1368683772161603e-13,0.0,833.3333333333334,0.0,8948.14814814815,8022.2222222222235,0.10315073999976543,6.227764970390126e-13,0.0
2025-01-01,51,warmup,1.0849,1202.6883333333333,415.01875,1202.6883333333333,415.01875,0.0,0.0,0.0,787.6695833333333,0.0,8022.2222222222235,7147.033796296298,0.0,0.0,0.0
2025-01-01,52,warmup,1.061,1226.9500666666663,471.0524333333333,1226.9500666666663,471.0524333333333,0.0,0.0,0.0,755.897633333333,0.0,7147.033796296298,6307.147537037039,0.0,0.0,0.0
2025-01-01,53,warmup,1.043,1212.5855,520.35525,1212.5855,520.35525,0.0,0.0,0.0,692.23025,0.0,6307.147537037039,5538.002814814817,0.0,0.0,0.0
2025-01-01,54,warmup,1.036,1179.5483333333334,558.49375,1179.5483333333334,558.49375,0.0,0.0,0.0,621.0545833333334,0.0,5538.002814814817,4847.9421666666685,0.0,0.0,0.0
