date,interval,slot,grid_plan_kwh,daily_grid_plan_kwh,daily_plan_cost_yuan
2025-03-20,10:00-10:10,61,0.0,65737.770793376,40360.35691467097
2025-03-20,12:00-12:10,73,581.5632784688376,65737.770793376,40360.35691467097
2025-03-20,14:00-14:10,85,0.0,65737.770793376,40360.35691467097
2025-03-20,16:00-16:10,97,495.2913852833124,65737.770793376,40360.35691467097
2025-03-20,18:00-18:10,109,658.539591984111,65737.770793376,40360.35691467097
2025-03-20,20:00-20:10,121,0.0,65737.770793376,40360.35691467097
2025-06-21,10:00-10:10,61,0.0,35075.428870870644,20521.696715127513
2025-06-21,12:00-12:10,73,0.0,35075.428870870644,20521.696715127513
2025-06-21,14:00-14:10,85,0.0,35075.428870870644,20521.696715127513
2025-06-21,16:00-16:10,97,147.92155290530513,35075.428870870644,20521.696715127513
2025-06-21,18:00-18:10,109,0.0,35075.428870870644,20521.696715127513
2025-06-21,20:00-20:10,121,0.0,35075.428870870644,20521.696715127513
2025-09-23,10:00-10:10,61,0.0,68265.03826784976,43013.716556709725
2025-09-23,12:00-12:10,73,453.4223437958688,68265.03826784976,43013.716556709725
2025-09-23,14:00-14:10,85,0.0,68265.03826784976,43013.716556709725
2025-09-23,16:00-16:10,97,569.9951950333995,68265.03826784976,43013.716556709725
2025-09-23,18:00-18:10,109,728.1909204833547,68265.03826784976,43013.716556709725
2025-09-23,20:00-20:10,121,10.413965707021475,68265.03826784976,43013.716556709725
2025-12-21,10:00-10:10,61,136.18299416137518,96359.37507284453,62334.06316402706
2025-12-21,12:00-12:10,73,908.80753132799,96359.37507284453,62334.06316402706
2025-12-21,14:00-14:10,85,0.0,96359.37507284453,62334.06316402706
2025-12-21,16:00-16:10,97,862.5307446744805,96359.37507284453,62334.06316402706
2025-12-21,18:00-18:10,109,683.2480844918941,96359.37507284453,62334.06316402706
2025-12-21,20:00-20:10,121,0.0,96359.37507284453,62334.06316402706
