date,interval,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh
2025-03-20,0:00-4:00,6754.133249878307,0.0,1215.4068495376448,
2025-03-20,4:00-8:00,2020.572217807116,4733.984297212919,,1207.435702564268
2025-03-20,8:00-12:00,4920.284431365956,2387.3932961961514,,
2025-03-20,12:00-16:00,5364.9261596157085,254.72278333333327,,
2025-03-20,16:00-20:00,239.2134408842934,5333.72005672482,,
2025-03-20,20:00-24:00,99.42370560212778,3010.181694983155,,
2025-06-21,0:00-4:00,788.8042928555426,115.1624053241085,1703.4101855918204,
2025-06-21,4:00-8:00,962.8874561456798,1720.1456156804734,,1717.555096149389
2025-06-21,8:00-12:00,4683.528884571282,0.0,,
2025-06-21,12:00-16:00,5394.280395774286,0.0,,
2025-06-21,16:00-20:00,84.73528159794567,5188.716933574076,,
2025-06-21,20:00-24:00,0.0,2613.776037784791,,
2025-09-23,0:00-4:00,6463.360918942615,1.5263110886067806,1216.4248593942764,
2025-09-23,4:00-8:00,1718.1096243326006,4816.841177633185,,1278.9997812705533
2025-09-23,8:00-12:00,3593.4120874741507,1823.4060247859811,,
2025-09-23,12:00-16:00,6374.363690594813,403.6249166666663,,
2025-09-23,16:00-20:00,543.6834584914589,5508.501703637515,,
2025-09-23,20:00-24:00,102.60126400257263,2614.162582008347,,
2025-12-21,0:00-4:00,7778.113187043171,0.0,1218.4231694277155,
2025-12-21,4:00-8:00,3005.182164171781,1971.612384327756,,1217.8550542895405
2025-12-21,8:00-12:00,3998.205876550086,6383.181758748079,,
2025-12-21,12:00-16:00,8155.202463294992,2146.3191452604688,,
2025-12-21,16:00-20:00,279.1228976136316,5504.137523709083,,
2025-12-21,20:00-24:00,136.35232243021238,2910.5254095731134,,
