date,slot,policy,grid_plan_kwh
2025-02-01,1,B1,1282.0797840179764
2025-02-01,2,B1,1275.1574897378428
2025-02-01,3,B1,1271.9814360620371
2025-02-01,4,B1,1303.797672218875
2025-02-01,5,B1,631.8567738086446
2025-02-01,6,B1,462.8204068223176
2025-02-01,7,B1,484.4660283665194
2025-02-01,8,B1,481.4074425545908
2025-02-01,9,B1,459.87886654362137
2025-02-01,10,B1,488.82460863046
2025-02-01,11,B1,1333.3722653620448
2025-02-01,12,B1,1316.178704461839
2025-02-01,13,B1,496.42371948910574
2025-02-01,14,B1,509.3984110659162
2025-02-01,15,B1,503.0251986633562
2025-02-01,16,B1,1327.6261189811758
2025-02-01,17,B1,1330.6211277516736
2025-02-01,18,B1,509.7299781238005
2025-02-01,19,B1,516.9523476672806
2025-02-01,20,B1,515.8182289444154
2025-02-01,21,B1,508.6863414820552
2025-02-01,22,B1,502.3233964615308
2025-02-01,23,B1,510.2674470034912
2025-02-01,24,B1,1356.5000773491704
2025-02-01,25,B1,518.7138910185354
2025-02-01,26,B1,519.7810158361093
2025-02-01,27,B1,533.0179827413752
2025-02-01,28,B1,542.1677419505241
2025-02-01,29,B1,549.8798396981174
2025-02-01,30,B1,549.8805071055345
2025-02-01,31,B1,533.1571635920105
2025-02-01,32,B1,533.8765618111008
2025-02-01,33,B1,558.7811361346073
2025-02-01,34,B1,576.7461653949848
2025-02-01,35,B1,0.0
2025-02-01,36,B1,0.0
2025-02-01,37,B1,0.0
2025-02-01,38,B1,0.0
2025-02-01,39,B1,0.0
2025-02-01,40,B1,0.0
2025-02-01,41,B1,0.0
2025-02-01,42,B1,0.0
2025-02-01,43,B1,0.0
2025-02-01,44,B1,0.0
2025-02-01,45,B1,0.0
2025-02-01,46,B1,0.0
2025-02-01,47,B1,0.0
2025-02-01,48,B1,0.0
2025-02-01,49,B1,0.0
2025-02-01,50,B1,0.0
2025-02-01,51,B1,0.0
2025-02-01,52,B1,0.0
2025-02-01,53,B1,0.0
2025-02-01,54,B1,0.0
2025-02-01,55,B1,0.0
2025-02-01,56,B1,0.0
2025-02-01,57,B1,0.0
2025-02-01,58,B1,0.0
2025-02-01,59,B1,0.0
2025-02-01,60,B1,0.0
2025-02-01,61,B1,0.0
2025-02-01,62,B1,0.0
2025-02-01,63,B1,0.0
2025-02-01,64,B1,0.0
2025-02-01,65,B1,0.0
2025-02-01,66,B1,0.0
2025-02-01,67,B1,0.0
2025-02-01,68,B1,0.0
2025-02-01,69,B1,469.3684742630236
2025-02-01,70,B1,0.0
2025-02-01,71,B1,0.0
2025-02-01,72,B1,431.77568727839184
2025-02-01,73,B1,0.0
2025-02-01,74,B1,0.0
2025-02-01,75,B1,0.0
2025-02-01,76,B1,307.5531685263652
2025-02-01,77,B1,0.0
2025-02-01,78,B1,0.0
2025-02-01,79,B1,0.0
2025-02-01,80,B1,0.0
2025-02-01,81,B1,0.0
2025-02-01,82,B1,0.0
2025-02-01,83,B1,0.0
2025-02-01,84,B1,0.0
2025-02-01,85,B1,0.0
2025-02-01,86,B1,0.0
2025-02-01,87,B1,0.0
2025-02-01,88,B1,0.0
2025-02-01,89,B1,0.0
2025-02-01,90,B1,0.0
2025-02-01,91,B1,45.20051673112164
2025-02-01,92,B1,86.80188386755356
2025-02-01,93,B1,87.7429826376565
2025-02-01,94,B1,129.76842100988637
2025-02-01,95,B1,188.60442390328643
2025-02-01,96,B1,235.6138528267831
2025-02-01,97,B1,272.8337593915911
2025-02-01,98,B1,329.7849704578612
2025-02-01,99,B1,402.8062664340375
