date,policy,issue_hour,decision_time,anchor_kw,anchor_source,observation_cutoff,boundary_method,j_keep_yuan,j_adjust_yuan,nv_yuan,delta_yuan,triggered,candidate_increase_kwh,candidate_decrease_kwh,candidate_non_emergency_cost_yuan,max_candidate_change_kwh
2025-02-01,C2,6,2025-02-01 06:00:00,0.0,attachment2:2025-02-01:slot36:ended_at:2025-02-01 06:00:00,2025-02-01 06:00:00,observed_anchor,15260.899007621594,15076.61717114793,184.28183647366492,0.0,True,365.2340559840552,0.0,10536.61927439304,107.20387653884848
2025-02-01,C2,12,2025-02-01 12:00:00,6603.9375,attachment2:2025-02-01:slot72:ended_at:2025-02-01 12:00:00,2025-02-01 12:00:00,observed_anchor,17872.38515467558,15551.62397360732,2320.7611810682592,0.0,True,2853.2314455056967,0.0,11332.205610693232,666.5511226070759
2025-02-01,C2,18,2025-02-01 18:00:00,0.0,attachment2:2025-02-01:slot108:ended_at:2025-02-01 18:00:00,2025-02-01 18:00:00,observed_anchor,7274.399379605715,6754.89059448481,519.5087851209046,0.0,True,1751.8968108938448,0.0,6402.28133460402,539.5085173259658
2025-02-01,C3,6,2025-02-01 06:00:00,0.0,attachment2:2025-02-01:slot36:ended_at:2025-02-01 06:00:00,2025-02-01 06:00:00,observed_anchor,15260.899007621594,15076.61717114793,184.28183647366492,500.0,False,365.2340559840552,0.0,10536.61927439304,107.20387653884848
2025-02-01,C3,12,2025-02-01 12:00:00,6603.9375,attachment2:2025-02-01:slot72:ended_at:2025-02-01 12:00:00,2025-02-01 12:00:00,observed_anchor,17816.195692269623,15490.36283562828,2325.832856641344,500.0,True,2787.8374041104757,0.0,11281.718141034053,601.1570812118545
2025-02-01,C3,18,2025-02-01 18:00:00,0.0,attachment2:2025-02-01:slot108:ended_at:2025-02-01 18:00:00,2025-02-01 18:00:00,observed_anchor,7274.399379605715,6754.89059448481,519.5087851209046,500.0,True,1751.8968108938448,0.0,6402.28133460402,539.5085173259658
2025-02-02,C2,6,2025-02-02 06:00:00,0.0,attachment2:2025-02-02:slot36:ended_at:2025-02-02 06:00:00,2025-02-02 06:00:00,observed_anchor,55292.16038997991,52436.56492500247,2855.595464977436,0.0,True,236.71519737513503,6399.785690764129,52383.52770873388,369.8641590811266
2025-02-02,C2,12,2025-02-02 12:00:00,6888.0375,attachment2:2025-02-02:slot72:ended_at:2025-02-02 12:00:00,2025-02-02 12:00:00,observed_anchor,44064.68908064847,39851.66188218743,4213.0271984610445,0.0,True,0.0,140.45326219841468,37241.88796248275,369.8641590811266
2025-02-02,C2,18,2025-02-02 18:00:00,0.0,attachment2:2025-02-02:slot108:ended_at:2025-02-02 18:00:00,2025-02-02 18:00:00,observed_anchor,16410.727351678277,16186.70005501442,224.0272966638568,0.0,True,196.11970627979247,138.12516866549151,15238.69220641866,196.11970627979247
2025-02-02,C3,6,2025-02-02 06:00:00,0.0,attachment2:2025-02-02:slot36:ended_at:2025-02-02 06:00:00,2025-02-02 06:00:00,observed_anchor,55292.16038997991,52436.56492500247,2855.595464977436,500.0,True,236.71519737513503,6399.785690764129,52383.52770873388,369.8641590811266
2025-02-02,C3,12,2025-02-02 12:00:00,6888.0375,attachment2:2025-02-02:slot72:ended_at:2025-02-02 12:00:00,2025-02-02 12:00:00,observed_anchor,44064.68908064847,39851.66188218743,4213.0271984610445,500.0,True,0.0,140.45326219841468,37241.88796248275,369.8641590811266
2025-02-02,C3,18,2025-02-02 18:00:00,0.0,attachment2:2025-02-02:slot108:ended_at:2025-02-02 18:00:00,2025-02-02 18:00:00,observed_anchor,16410.727351678277,16186.70005501442,224.0272966638568,500.0,False,196.11970627979247,138.12516866549151,15238.69220641866,196.11970627979247
2025-02-03,C2,6,2025-02-03 06:00:00,0.0,attachment2:2025-02-03:slot36:ended_at:2025-02-03 06:00:00,2025-02-03 06:00:00,observed_anchor,62560.2898757917,61568.52553708901,991.764338702691,0.0,True,1831.5821557868755,1579.8851733387942,61092.71256995686,688.8136501746022
2025-02-03,C2,12,2025-02-03 12:00:00,6392.925,attachment2:2025-02-03:slot72:ended_at:2025-02-03 12:00:00,2025-02-03 12:00:00,observed_anchor,45421.2869319785,45253.4896670414,167.7972649371004,0.0,True,582.7420281296088,421.1825916666685,40700.60792962897,577.8499851378862
2025-02-03,C2,18,2025-02-03 18:00:00,0.0,attachment2:2025-02-03:slot108:ended_at:2025-02-03 18:00:00,2025-02-03 18:00:00,observed_anchor,16158.584700857333,15714.977238050133,443.6074628071983,0.0,True,239.48694939459196,951.5134094283502,15631.509001642598,178.41484611584582
2025-02-03,C3,6,2025-02-03 06:00:00,0.0,attachment2:2025-02-03:slot36:ended_at:2025-02-03 06:00:00,2025-02-03 06:00:00,observed_anchor,62560.2898757917,61568.52553708901,991.764338702691,500.0,True,1831.5821557868755,1579.8851733387942,61092.71256995686,688.8136501746022
2025-02-03,C3,12,2025-02-03 12:00:00,6392.925,attachment2:2025-02-03:slot72:ended_at:2025-02-03 12:00:00,2025-02-03 12:00:00,observed_anchor,45421.2869319785,45253.4896670414,167.7972649371004,500.0,False,582.7420281296088,421.1825916666685,40700.60792962897,577.8499851378862
