date,interval,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh
2025-03-20,0:00-4:00,5012.915151847852,116.60175831421593,1211.1481482442769,
2025-03-20,4:00-8:00,4063.9642082911487,5223.854506420099,,1200.0
2025-03-20,8:00-12:00,3237.3890330170652,2021.8493503981217,,
2025-03-20,12:00-16:00,6387.293606170938,254.72278333333327,,
2025-03-20,16:00-20:00,962.6281462552075,6056.080998814725,,
2025-03-20,20:00-24:00,865.1998792242664,2965.7298562326,,
2025-06-21,0:00-4:00,1427.9533169543595,1654.1662173501204,1770.3464648296017,
2025-06-21,4:00-8:00,2192.816343654362,1735.7417543962215,,1273.2968432682435
2025-06-21,8:00-12:00,0.0,0.0,,
2025-06-21,12:00-16:00,8432.00172283401,0.0,,
2025-06-21,16:00-20:00,1005.8779981460701,4711.838159604484,,
2025-06-21,20:00-24:00,252.6415884485051,3127.74421378461,,
2025-09-23,0:00-4:00,4376.862981542339,32.72875921534421,1200.0,
2025-09-23,4:00-8:00,4623.607735388427,5562.84805752667,,1240.08177906101
2025-09-23,8:00-12:00,3698.8209177976187,1694.8044639719044,,
2025-09-23,12:00-16:00,6106.740575122129,403.6249166666663,,
2025-09-23,16:00-20:00,506.5525718079394,6401.533229003357,,
2025-09-23,20:00-24:00,82.4978883879885,1578.4039351987687,,
2025-12-21,0:00-4:00,6071.815251936287,15.96006663398748,1232.4558621738092,
2025-12-21,4:00-8:00,2067.036697983082,1242.262455342858,,1200.0
2025-12-21,8:00-12:00,3024.3151461943767,4588.132252467783,,
2025-12-21,12:00-16:00,7439.633078368023,2253.430080426087,,
2025-12-21,16:00-20:00,1321.6402138289004,5218.999096880389,,
2025-12-21,20:00-24:00,88.66090949781602,2921.038375430195,,
