date,interval,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh
2025-03-20,0:00-4:00,4775.010847988555,172.41402784890784,1227.616252998865,
2025-03-20,4:00-8:00,4771.400406358825,5156.252923224298,,1200.0
2025-03-20,8:00-12:00,4893.20127096124,2428.7807926471482,,
2025-03-20,12:00-16:00,5416.269763988492,273.2470597524474,,
2025-03-20,16:00-20:00,183.62599774035255,5974.213189451788,,
2025-03-20,20:00-24:00,888.6452848923268,2971.7510280375172,,
2025-06-21,0:00-4:00,1347.6498188317091,1591.5922899975733,1780.4766467055304,
2025-06-21,4:00-8:00,2162.1166718840077,1710.8655633004232,,1259.3289802284755
2025-06-21,8:00-12:00,4547.792834697639,0.0,,
2025-06-21,12:00-16:00,5441.410423004892,0.0,,
2025-06-21,16:00-20:00,152.21141702570745,5200.348891766001,,
2025-06-21,20:00-24:00,304.840568160105,3270.6037589846374,,
2025-09-23,0:00-4:00,3845.0514654584667,86.7296884529782,1200.0,
2025-09-23,4:00-8:00,4408.131000454748,4774.9420841507435,,1239.5083258171896
2025-09-23,8:00-12:00,3473.179452670473,1823.4060247859811,,
2025-09-23,12:00-16:00,6489.750744676061,403.6249166666663,,
2025-09-23,16:00-20:00,371.8873358259158,6498.323118294691,,
2025-09-23,20:00-24:00,95.01530646284922,1510.6590719077649,,
2025-12-21,0:00-4:00,8175.051999769846,103.52451678373704,1245.8313694814271,
2025-12-21,4:00-8:00,1855.9561764540538,1284.0346971850595,,1200.0
2025-12-21,8:00-12:00,3512.6392586795155,6467.689766513439,,
2025-12-21,12:00-16:00,7995.474487974605,2220.1094166666667,,
2025-12-21,16:00-20:00,1140.3628189629412,5252.504952974918,,
2025-12-21,20:00-24:00,170.403690612341,3221.794512696643,,
