policy,month,total_cost_yuan,emergency_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,branch
B1,2,1340289.244760608,159323.2729032035,44095.170783959795,91764.93768086842,Q4-2
B1,3,1256672.5727464212,255002.09515126987,74060.89614001385,151972.82712244443,Q4-2
B1,4,1052772.7398534478,243508.24371749823,80351.10395281849,196415.34178493585,Q4-2
B1,5,1123253.7277622647,313020.77972961846,97112.33208829218,231628.73095109934,Q4-2
B1,6,1703811.3222455883,512384.54995535006,139829.76985929557,135140.1601579831,Q4-2
B1,7,1924646.5834830059,427098.834243191,112020.96486401437,178745.3547548448,Q4-2
B1,8,1549469.1406623896,256521.33540227555,70198.10404496083,256865.06644861543,Q4-2
B1,9,1368939.4128539583,389378.24143247615,112155.60923249302,224250.26970395472,Q4-2
B1,10,1311086.2631437515,329306.77925014583,92597.56826989201,171514.93728780618,Q4-2
B1,11,1449130.5516992519,248479.22699561974,66996.34150222663,72160.08239676055,Q4-2
B1,12,2028307.1211358004,278363.5685067645,72020.2242105527,72867.95655188525,Q4-2
B3,2,1380879.21918195,122277.51558026264,32324.8528517804,166204.76567125774,Q4-2
B3,3,1247665.3554242493,217970.69963502037,64084.590027829996,168408.75427272698,Q4-2
B3,4,1072139.5795399547,214420.5885172478,66034.4161303486,265697.41055662144,Q4-2
B3,5,1161043.417517187,287501.8647894809,83568.25366837681,315681.646951454,Q4-2
B3,6,1801683.4068203561,473689.6778043493,118032.18198509784,281326.9429269371,Q4-2
B3,7,2037470.268915763,345057.44050715765,80729.14101881231,380934.7661533462,Q4-2
B3,8,1551698.84053168,200875.04860096826,57036.516898569054,303411.58661260124,Q4-2
B3,9,1389781.6042938696,352229.03047815897,97173.48666447961,286961.08264551027,Q4-2
B3,10,1355475.3347462374,283725.2046015814,74792.03539427863,273908.9173396075,Q4-2
B3,11,1482965.179894347,204884.52775155075,51997.26225420148,150160.861903686,Q4-2
B3,12,2071519.117946809,244642.87691192603,59969.2294845365,141141.76592980121,Q4-2
B4,2,1440146.209240335,118722.39372556256,30403.036678608532,239842.01245701662,Q4-2
B4,3,1260828.9376202791,220709.15442453758,63437.07139656968,184709.36364260776,Q4-2
B4,4,1075017.443843861,209733.38030660458,63950.53213013212,278214.62321340677,Q4-2
B4,5,1180266.7075119226,285333.31095058704,81040.22821785562,344150.5040658957,Q4-2
B4,6,1825643.1914319843,456956.29215896997,111615.0363492715,327481.11645575333,Q4-2
B4,7,2071112.2557458216,335594.4874877765,76891.33531215793,434625.57021171955,Q4-2
B4,8,1588979.6758714856,196845.26292394643,54177.64429109223,359195.942543811,Q4-2
B4,9,1401046.8328642817,343229.3393043316,92720.07785040085,316731.78187892004,Q4-2
B4,10,1366460.1129362287,280355.5683472396,73176.84722491282,296056.59146676504,Q4-2
B4,11,1493730.2534792472,203735.93487208858,51207.98068662698,167060.90910841565,Q4-2
B4,12,2095827.4499035815,240025.23740770572,57605.229007697206,176071.38390686028,Q4-2
