date,interval,emergency_purchase_kwh
2025-03-20,1:20-1:30,68.23423449982636
2025-03-20,1:50-2:00,19.92816629818367
2025-03-20,2:40-2:50,15.884865304704816
2025-03-20,3:00-3:20,62.036013799504765
2025-03-20,3:30-4:20,117.28766019094917
2025-03-20,4:50-5:40,252.1932922903933
2025-03-20,8:40-8:50,7.061492914123676
2025-03-20,9:10-10:00,341.5349311053943
2025-03-20,11:20-12:00,592.0919675120883
2025-03-20,12:30-12:40,49.969783291341855
2025-03-20,14:50-16:50,1024.6379648933216
2025-03-20,17:20-17:30,70.95380778628609
2025-03-20,20:20-20:30,39.0443463737306
2025-03-20,20:40-20:50,1.3624871373840948
2025-03-20,21:10-21:50,125.49039025818924
2025-03-20,23:40-0:00+1,37.977146143366326
2025-06-21,1:40-2:10,65.80169161532405
2025-06-21,3:00-3:30,67.05290812185488
2025-06-21,4:00-4:20,56.32885891945968
2025-06-21,4:40-4:50,3.6471450551022713
2025-06-21,5:00-5:20,55.092705172887754
2025-06-21,5:30-5:50,25.051015711001526
2025-06-21,6:20-6:30,26.250523497663742
2025-09-23,2:10-2:30,35.4056712820744
2025-09-23,5:00-5:10,35.35866531276111
2025-09-23,5:30-5:50,24.333191324507673
2025-09-23,6:50-7:20,77.67533754120163
2025-09-23,7:40-7:50,114.75133285718051
2025-09-23,9:20-9:50,69.82072521401817
2025-09-23,10:00-10:10,3.38896666666642
2025-09-23,14:50-15:40,1054.4492291765905
2025-09-23,15:50-16:10,152.69859268508188
2025-09-23,16:20-16:50,226.5449299520983
2025-09-23,17:00-17:10,15.12627144565468
2025-09-23,17:30-17:40,31.438199949613484
2025-09-23,18:40-19:10,117.41841937055966
2025-09-23,19:50-20:30,305.5206525341569
2025-09-23,20:40-21:40,229.76693632444585
2025-09-23,22:20-22:40,40.38609340567904
2025-12-21,1:40-1:50,13.708237534362002
2025-12-21,3:10-3:20,2.372241572721304
2025-12-21,3:30-4:00,123.90580339086007
2025-12-21,4:10-4:20,25.88237296046998
2025-12-21,5:40-5:50,16.588800784094943
2025-12-21,6:10-6:40,60.10302763718758
2025-12-21,11:40-11:50,35.52987085712493
2025-12-21,12:00-12:10,24.020502005343246
2025-12-21,12:40-13:10,28.621805495648694
2025-12-21,16:50-17:00,12.89944653138582
2025-12-21,17:50-18:00,0.3701877831072124
2025-12-21,18:10-18:30,25.7327420990304
2025-12-21,18:40-18:50,65.90445638725447
2025-12-21,20:40-20:50,67.9119603061983
2025-12-21,22:50-23:00,9.29453415075609
2025-12-21,23:30-23:50,48.06973747324052
